timestep_reward_type: delta_gamma
timestep_factor: 1
episode_reward_type: gamma_global
episode_factor: 0
tp/toff_init: [15, 15]
std: 0.2
num_episodes: 20
num_timesteps: 15
model_reload: C:\Users\Kalibrier-Windkanal\Documents\AFC_ReinforcementLearning\save_dir\data\measurements_alex\delta_gamma_std0.2\model_2024-11-22_0913.pth

episode	episode_reward	reward_last_timestep	gamma_global_last_timestep	loss	actor_loss	critic_loss	entropy
0	0.8195453608247422	0.01058866	0.8195453608247422	0.07153342	0.07053616	0.00080676016	0.00019049943
1	0.7399164948453607	-0.008403093	0.7399164948453607	0.07575946	0.07530461	0.00026435283	0.00019049943
2	0.7223474226804124	-0.0036	0.7223474226804124	0.0334328	0.032583598	0.00065870176	0.00019049943
3	0.7195608247422679	0.014605154	0.7195608247422679	-0.009147283	-0.009401005	6.322298e-05	0.00019049943
4	0.7262123711340206	0.004185567	0.7262123711340206	0.0038935752	0.0034819997	0.000221076	0.00019049943
5	0.7282350515463917	0.02111031	0.7282350515463917	-0.0056005926	-0.005836874	4.578194e-05	0.00019049943
6	0.31874329896907216	0.013343299	0.31874329896907216	-0.0013728358	-0.0016120498	4.871441e-05	0.00019049943
7	0.6844649484536082	-0.0012164948	0.6844649484536082	-0.0034073414	-0.0036017671	3.926227e-06	0.00019049943
8	0.6828814432989689	0.03584433	0.6828814432989689	-0.0050188014	-0.005225896	1.6595459e-05	0.00019049943
9	0.7215443298969071	0.0065360824	0.7215443298969071	0.005753101	0.0054726484	8.995311e-05	0.00019049943
10	0.7268474226804124	0.008038145	0.7268474226804124	-0.0056116874	-0.005809271	7.083951e-06	0.00019049943
11	0.7181608247422678	0.017570103	0.7181608247422678	-0.01286767	-0.01310382	4.5651588e-05	0.00019049943
12	0.7186587628865979	-0.001785567	0.7186587628865979	0.011613286	0.011368978	5.3808722e-05	0.00019049943
13	0.7050865979381443	-0.008960824	0.7050865979381443	0.006987081	0.006760297	3.628478e-05	0.00019049943
14	0.6964113402061854	-0.003486598	0.6964113402061854	0.0078555895	0.007648489	1.6601047e-05	0.00019049943
15	0.721743298969072	-0.00024948452	0.721743298969072	-0.01889907	-0.019167965	7.83958e-05	0.00019049943
16	0.7273237113402061	0.034515463	0.7273237113402061	-0.0048552467	-0.0050616013	1.5855283e-05	0.00019049943
17	0.7170618556701029	-0.01653196	0.7170618556701029	-0.0050338176	-0.005257071	3.2754244e-05	0.00019049943
18	0.7194412371134021	0.005759794	0.7194412371134021	0.017598806	0.017343467	6.48394e-05	0.00019049943
19	0.7249391752577319	0.004113402	0.7249391752577319	-0.0044523715	-0.004653893	1.1021982e-05	0.00019049943
